miRNA	Gene	Score
hsa-miR-3139	FGF22	0.0
hsa-miR-520f-5p	AMBP	0.033
hsa-miR-520f-5p	FGF22	0.0
hsa-miR-4999-5p	AMBP	0.0
hsa-miR-4999-5p	FGF22	0.0
hsa-miR-20b-3p	AMBP	0.344
hsa-miR-20b-3p	FGF22	0.0
hsa-miR-5188	AMBP	0.0
hsa-miR-5188	FGF22	0.0
hsa-miR-652-3p	AMBP	0.0
hsa-miR-652-3p	FGF22	0.0
hsa-miR-4737	AMBP	0.14
hsa-miR-4737	FGF22	0.256
hsa-miR-3656	AMBP	0.835
hsa-miR-3656	FGF22	1.558
hsa-miR-498	AMBP	0.0
hsa-miR-498	FGF22	0.2
hsa-miR-4734	FGF22	0.386
hsa-miR-4734	AMBP	0.124
hsa-miR-1469	FGF22	0.216
hsa-miR-1469	AMBP	0.0
hsa-miR-4490	FGF22	0.0
hsa-miR-4490	AMBP	0.296
hsa-miR-4260	FGF22	0.336
hsa-miR-4260	AMBP	0.203
hsa-miR-2115-5p	AMBP	0.0
hsa-miR-2115-5p	FGF22	0.0
hsa-miR-5681b	AMBP	0.0
hsa-miR-5681b	FGF22	0.0
hsa-miR-4662a-5p	AMBP	0.0
hsa-miR-4662a-5p	FGF22	0.0
hsa-miR-633	AMBP	0.0
hsa-miR-633	FGF22	0.0
hsa-miR-6084	FGF22	0.627
hsa-miR-6084	AMBP	0.077
hsa-miR-4471	AMBP	0.0
hsa-miR-4471	FGF22	0.0
hsa-miR-212-3p	FGF22	0.151
hsa-miR-212-3p	AMBP	0.0
hsa-miR-585-5p	AMBP	0.0
hsa-miR-585-5p	FGF22	0.0
hsa-miR-1224-5p	FGF22	1.411
hsa-miR-1224-5p	AMBP	0.0
hsa-miR-4772-5p	AMBP	0.09
hsa-miR-4772-5p	FGF22	0.0
hsa-miR-6764-3p	AMBP	0.239
hsa-miR-6764-3p	FGF22	0.219
hsa-miR-3158-3p	AMBP	0.0
hsa-miR-3158-3p	FGF22	0.0
hsa-miR-4427	FGF22	0.0
hsa-miR-4427	AMBP	0.0
hsa-miR-3913-5p	AMBP	0.0
hsa-miR-3913-5p	FGF22	0.196
hsa-miR-553	AMBP	0.0
hsa-miR-553	FGF22	0.0
hsa-miR-6740-3p	FGF22	0.392
hsa-miR-6740-3p	AMBP	0.0
hsa-miR-568	AMBP	0.0
hsa-miR-568	FGF22	0.0
hsa-miR-3714	AMBP	0.0
hsa-miR-3714	FGF22	0.204
hsa-miR-592	AMBP	0.0
hsa-miR-592	FGF22	0.0
hsa-miR-6741-5p	FGF22	0.212
hsa-miR-6741-5p	AMBP	0.0
hsa-miR-3189-5p	AMBP	0.0
hsa-miR-3189-5p	FGF22	0.0
hsa-miR-3616-5p	AMBP	0.0
hsa-miR-3616-5p	FGF22	0.0
hsa-miR-6753-5p	FGF22	0.533
hsa-miR-6753-5p	AMBP	0.072
hsa-miR-940	AMBP	0.0
hsa-miR-940	FGF22	0.575
hsa-miR-33b-3p	AMBP	0.127
hsa-miR-33b-3p	FGF22	0.277
hsa-miR-4668-3p	FGF22	0.0
hsa-miR-4668-3p	AMBP	0.0
hsa-miR-588	AMBP	0.0
hsa-miR-588	FGF22	0.0
hsa-miR-1251-5p	AMBP	0.0
hsa-miR-1251-5p	FGF22	0.14
hsa-miR-8078	AMBP	0.011
hsa-miR-8078	FGF22	0.627
hsa-miR-5703	FGF22	0.885
hsa-miR-5703	AMBP	0.386
hsa-miR-146a-3p	AMBP	0.0
hsa-miR-146a-3p	FGF22	0.236
hsa-miR-449c-5p	FGF22	0.0
hsa-miR-449c-5p	AMBP	0.0
hsa-miR-5087	AMBP	0.0
hsa-miR-5087	FGF22	0.236
hsa-miR-6800-3p	FGF22	0.315
hsa-miR-6800-3p	AMBP	0.298
hsa-miR-3913-3p	FGF22	0.0
hsa-miR-3913-3p	AMBP	0.0
hsa-miR-6814-3p	AMBP	0.306
hsa-miR-6814-3p	FGF22	0.0
hsa-miR-1292-3p	FGF22	0.648
hsa-miR-1292-3p	AMBP	0.026
hsa-miR-6735-3p	FGF22	0.324
hsa-miR-6735-3p	AMBP	0.0
hsa-miR-548av-3p	FGF22	0.0
hsa-miR-548av-3p	AMBP	0.0
hsa-miR-5701	AMBP	0.0
hsa-miR-5701	FGF22	0.605
hsa-miR-450b-3p	AMBP	0.1
hsa-miR-450b-3p	FGF22	0.0
hsa-miR-7847-3p	FGF22	0.36
hsa-miR-7847-3p	AMBP	0.0
hsa-miR-4497	FGF22	1.106
hsa-miR-4497	AMBP	1.716
hsa-miR-3187-5p	AMBP	0.017
hsa-miR-3187-5p	FGF22	0.0
hsa-miR-6820-5p	AMBP	0.152
hsa-miR-6820-5p	FGF22	0.267
hsa-miR-1181	FGF22	0.056
hsa-miR-1181	AMBP	0.905
hsa-miR-3121-3p	FGF22	0.0
hsa-miR-3121-3p	AMBP	0.0
hsa-miR-8058	AMBP	0.0
hsa-miR-8058	FGF22	0.0
hsa-miR-452-5p	FGF22	0.0
hsa-miR-452-5p	AMBP	0.0
hsa-miR-642a-5p	AMBP	0.012
hsa-miR-642a-5p	FGF22	0.355
hsa-miR-1204	AMBP	0.083
hsa-miR-1204	FGF22	0.447
hsa-miR-6753-3p	AMBP	0.316
hsa-miR-6753-3p	FGF22	0.437
hsa-miR-3156-5p	AMBP	0.0
hsa-miR-3156-5p	FGF22	0.0
hsa-miR-363-5p	AMBP	0.097
hsa-miR-363-5p	FGF22	0.223
hsa-miR-7851-3p	AMBP	0.0
hsa-miR-7851-3p	FGF22	0.43
hsa-miR-3152-3p	AMBP	0.0
hsa-miR-3152-3p	FGF22	0.0
hsa-miR-520e	FGF22	0.033
hsa-miR-520e	AMBP	0.0
hsa-miR-607	AMBP	0.0
hsa-miR-6783-5p	AMBP	0.0
hsa-miR-6783-5p	FGF22	0.0
hsa-miR-520c-5p	AMBP	0.0
hsa-miR-520c-5p	FGF22	0.487
hsa-miR-4766-5p	FGF22	0.0
hsa-miR-4766-5p	AMBP	0.0
hsa-miR-580-3p	AMBP	0.0
hsa-miR-580-3p	FGF22	0.0
hsa-miR-4716-3p	AMBP	0.0
hsa-miR-4716-3p	FGF22	0.0
hsa-miR-6881-5p	AMBP	0.539
hsa-miR-6881-5p	FGF22	0.328
hsa-miR-25-5p	AMBP	0.162
hsa-miR-25-5p	FGF22	0.633
hsa-miR-3178	AMBP	2.188
hsa-miR-3178	FGF22	1.248
hsa-miR-548b-3p	FGF22	0.0
hsa-miR-548b-3p	AMBP	0.0
hsa-miR-4651	AMBP	0.166
hsa-miR-4651	FGF22	0.772
hsa-miR-4798-5p	AMBP	0.0
hsa-miR-4798-5p	FGF22	0.0
hsa-miR-148a-5p	AMBP	0.0
hsa-miR-148a-5p	FGF22	0.0
hsa-miR-4781-3p	AMBP	0.0
hsa-miR-4781-3p	FGF22	0.0
hsa-miR-4538	FGF22	0.522
hsa-miR-4538	AMBP	0.0
hsa-miR-6722-3p	AMBP	0.307
hsa-miR-6722-3p	FGF22	0.375
hsa-miR-4716-5p	FGF22	0.311
hsa-miR-4716-5p	AMBP	0.041
hsa-miR-3973	FGF22	0.0
hsa-miR-3973	AMBP	0.0
hsa-miR-99b-5p	FGF22	0.309
hsa-miR-99b-5p	AMBP	0.099
hsa-miR-548au-5p	AMBP	0.0
hsa-miR-548au-5p	FGF22	0.0
hsa-miR-494-3p	FGF22	0.0
hsa-miR-494-3p	AMBP	0.0
hsa-miR-452-3p	AMBP	0.566
hsa-miR-452-3p	FGF22	0.0
hsa-miR-19b-2-5p	AMBP	0.0
hsa-miR-19b-2-5p	FGF22	0.0
hsa-miR-221-5p	FGF22	0.0
hsa-miR-221-5p	AMBP	0.0
hsa-miR-4322	FGF22	0.544
hsa-miR-4322	AMBP	0.249
hsa-miR-6780a-3p	AMBP	0.0
hsa-miR-6780a-3p	FGF22	0.681
hsa-miR-4329	AMBP	0.514
hsa-miR-4329	FGF22	0.82
hsa-miR-548at-3p	FGF22	0.0
hsa-miR-548at-3p	AMBP	0.0
hsa-miR-4704-3p	FGF22	0.0
hsa-miR-4704-3p	AMBP	0.0
hsa-miR-3664-3p	FGF22	0.0
hsa-miR-3664-3p	AMBP	0.0
hsa-miR-4648	AMBP	0.418
hsa-miR-4648	FGF22	0.566
hsa-let-7f-2-3p	AMBP	0.0
hsa-let-7f-2-3p	FGF22	0.0
hsa-miR-551a	AMBP	0.0
hsa-miR-551a	FGF22	0.294
hsa-miR-4749-5p	FGF22	0.0
hsa-miR-4749-5p	AMBP	0.0
hsa-miR-7844-5p	FGF22	0.0
hsa-miR-7844-5p	AMBP	0.0
hsa-miR-3167	FGF22	0.0
hsa-miR-3167	AMBP	0.0
hsa-miR-1295b-5p	FGF22	0.164
hsa-miR-1295b-5p	AMBP	0.0
hsa-miR-891a-3p	FGF22	0.011
hsa-miR-891a-3p	AMBP	0.0
hsa-miR-215-5p	AMBP	0.098
hsa-miR-215-5p	FGF22	0.0
hsa-miR-1292-5p	AMBP	0.0
hsa-miR-1292-5p	FGF22	0.0
hsa-miR-4670-3p	FGF22	0.0
hsa-miR-4670-3p	AMBP	0.0
hsa-miR-605-5p	AMBP	0.0
hsa-miR-605-5p	FGF22	0.0
hsa-miR-6806-3p	FGF22	0.0
hsa-miR-6806-3p	AMBP	0.0
hsa-miR-4720-5p	AMBP	0.0
hsa-miR-4720-5p	FGF22	0.0
hsa-miR-6758-3p	FGF22	0.364
hsa-miR-6758-3p	AMBP	0.295
hsa-miR-5684	AMBP	0.0
hsa-miR-5684	FGF22	0.0
hsa-miR-150-5p	AMBP	0.0
hsa-miR-150-5p	FGF22	0.0
hsa-miR-361-3p	AMBP	0.0
hsa-miR-361-3p	FGF22	0.0
hsa-miR-6133	FGF22	1.059
hsa-miR-6133	AMBP	0.069
hsa-miR-4446-3p	AMBP	0.832
hsa-miR-4446-3p	FGF22	0.0
hsa-miR-4281	FGF22	1.01
hsa-miR-4281	AMBP	0.985
hsa-miR-628-5p	FGF22	0.0
hsa-miR-628-5p	AMBP	0.0
hsa-miR-100-3p	AMBP	0.0
hsa-miR-100-3p	FGF22	0.0
hsa-miR-3133	AMBP	0.0
hsa-miR-3133	FGF22	0.0
hsa-miR-4298	FGF22	0.425
hsa-miR-4298	AMBP	0.22
hsa-miR-6777-3p	FGF22	0.704
hsa-miR-6777-3p	AMBP	0.586
hsa-miR-6759-5p	AMBP	0.0
hsa-miR-6759-5p	FGF22	0.0
hsa-miR-323a-5p	FGF22	0.135
hsa-miR-323a-5p	AMBP	0.0
hsa-miR-345-5p	FGF22	0.425
hsa-miR-345-5p	AMBP	0.0
hsa-miR-877-5p	FGF22	0.562
hsa-miR-877-5p	AMBP	0.563
hsa-miR-5008-5p	AMBP	0.0
hsa-miR-5008-5p	FGF22	0.0
hsa-miR-27b-5p	AMBP	0.0
hsa-miR-27b-5p	FGF22	0.0
hsa-miR-5000-3p	AMBP	0.0
hsa-miR-5000-3p	FGF22	0.0
hsa-miR-4776-5p	FGF22	0.65
hsa-miR-4776-5p	AMBP	0.0
hsa-miR-1227-3p	FGF22	0.601
hsa-miR-1227-3p	AMBP	0.707
hsa-miR-659-3p	FGF22	0.215
hsa-miR-659-3p	AMBP	0.0
hsa-miR-92a-2-5p	AMBP	0.0
hsa-miR-92a-2-5p	FGF22	0.0
hsa-miR-6813-5p	AMBP	0.275
hsa-miR-6813-5p	FGF22	0.115
hsa-miR-1256	FGF22	0.0
hsa-miR-1256	AMBP	0.0
hsa-miR-105-5p	AMBP	0.0
hsa-miR-105-5p	FGF22	0.0
hsa-miR-4755-3p	AMBP	0.0
hsa-miR-4755-3p	FGF22	0.0
hsa-miR-640	FGF22	0.053
hsa-miR-640	AMBP	0.21
hsa-miR-199a-3p	AMBP	0.011
hsa-miR-199a-3p	FGF22	0.0
hsa-miR-1224-3p	FGF22	0.582
hsa-miR-1224-3p	AMBP	0.0
hsa-miR-30d-3p	AMBP	0.0
hsa-miR-30d-3p	FGF22	0.392
hsa-miR-1307-5p	FGF22	0.57
hsa-miR-1307-5p	AMBP	0.372
hsa-miR-32-3p	AMBP	0.395
hsa-miR-32-3p	FGF22	0.0
hsa-miR-4500	AMBP	1.185
hsa-miR-4500	FGF22	0.0
hsa-miR-4273	AMBP	0.501
hsa-miR-4273	FGF22	0.0
hsa-miR-525-3p	FGF22	0.61
hsa-miR-525-3p	AMBP	0.0
hsa-miR-708-5p	AMBP	0.0
hsa-miR-708-5p	FGF22	0.0
hsa-miR-488-3p	AMBP	0.0
hsa-miR-488-3p	FGF22	0.0
hsa-miR-4466	FGF22	0.954
hsa-miR-4466	AMBP	1.444
hsa-miR-2467-3p	FGF22	0.232
hsa-miR-2467-3p	AMBP	0.0
hsa-miR-6764-5p	FGF22	0.533
hsa-miR-6764-5p	AMBP	0.0
hsa-miR-3928-5p	AMBP	0.0
hsa-miR-3928-5p	FGF22	0.0
hsa-miR-548y	AMBP	0.0
hsa-miR-548y	FGF22	0.0
hsa-miR-3914	AMBP	0.0
hsa-miR-3914	FGF22	0.0
hsa-miR-34a-5p	AMBP	0.062
hsa-miR-34a-5p	FGF22	0.657
hsa-miR-335-5p	AMBP	0.0
hsa-miR-711	FGF22	0.093
hsa-miR-711	AMBP	0.0
hsa-miR-5588-3p	AMBP	0.66
hsa-miR-5588-3p	FGF22	1.007
hsa-miR-6848-3p	FGF22	0.677
hsa-miR-6848-3p	AMBP	0.644
hsa-miR-6769a-5p	AMBP	0.0
hsa-miR-6769a-5p	FGF22	0.0
hsa-miR-5091	AMBP	0.0
hsa-miR-5091	FGF22	0.0
hsa-miR-26a-5p	FGF22	0.0
hsa-miR-26a-5p	AMBP	0.0
hsa-miR-99b-3p	FGF22	0.48
hsa-miR-99b-3p	AMBP	0.0
hsa-miR-4793-5p	AMBP	0.0
hsa-miR-4793-5p	FGF22	0.0
hsa-miR-6819-5p	FGF22	0.168
hsa-miR-6819-5p	AMBP	0.0
hsa-miR-6747-3p	FGF22	0.134
hsa-miR-6747-3p	AMBP	0.819
hsa-miR-190a-5p	FGF22	0.0
hsa-miR-190a-5p	AMBP	0.0
hsa-miR-7109-5p	AMBP	0.0
hsa-miR-7109-5p	FGF22	0.0
hsa-miR-6728-3p	AMBP	0.153
hsa-miR-6728-3p	FGF22	0.571
hsa-miR-4647	FGF22	0.0
hsa-miR-4647	AMBP	0.0
hsa-miR-3674	AMBP	0.0
hsa-miR-3674	FGF22	0.0
hsa-miR-3165	FGF22	0.0
hsa-miR-3165	AMBP	0.0
hsa-miR-548c-3p	FGF22	0.0
hsa-miR-548c-3p	AMBP	0.0
hsa-miR-4308	AMBP	0.176
hsa-miR-4308	FGF22	0.592
hsa-miR-6731-5p	AMBP	0.0
hsa-miR-6731-5p	FGF22	0.0
hsa-miR-3130-3p	FGF22	0.141
hsa-miR-3130-3p	AMBP	0.16
hsa-miR-3666	AMBP	0.0
hsa-miR-3666	FGF22	0.0
hsa-miR-4639-5p	FGF22	0.0
hsa-miR-4639-5p	AMBP	0.0
hsa-miR-297	AMBP	0.0
hsa-miR-297	FGF22	0.0
hsa-miR-1264	FGF22	0.0
hsa-miR-1264	AMBP	0.0
hsa-miR-5583-3p	AMBP	0.0
hsa-miR-5583-3p	FGF22	0.0
hsa-miR-3188	FGF22	0.0
hsa-miR-3188	AMBP	0.0
hsa-let-7a-5p	AMBP	0.0
hsa-let-7a-5p	FGF22	0.0
hsa-miR-6080	FGF22	0.293
hsa-miR-6080	AMBP	0.0
hsa-miR-7-5p	FGF22	0.0
hsa-miR-7-5p	AMBP	0.0
hsa-miR-3136-5p	AMBP	0.0
hsa-miR-3136-5p	FGF22	0.0
hsa-miR-499a-3p	FGF22	0.0
hsa-miR-499a-3p	AMBP	0.0
hsa-miR-629-3p	AMBP	0.09
hsa-miR-629-3p	FGF22	0.41
hsa-miR-4771	AMBP	0.0
hsa-miR-4771	FGF22	0.501
hsa-miR-518d-3p	AMBP	0.0
hsa-miR-518d-3p	FGF22	0.0
hsa-miR-6815-5p	AMBP	0.0
hsa-miR-6815-5p	FGF22	0.0
hsa-miR-6746-5p	FGF22	0.236
hsa-miR-6746-5p	AMBP	0.0
hsa-miR-6772-3p	AMBP	0.0
hsa-miR-6772-3p	FGF22	0.354
hsa-miR-130a-5p	FGF22	0.066
hsa-miR-130a-5p	AMBP	0.0
hsa-miR-137	AMBP	0.0
hsa-miR-137	FGF22	0.0
hsa-miR-874-3p	AMBP	0.0
hsa-miR-874-3p	FGF22	0.0
hsa-miR-331-3p	AMBP	0.339
hsa-miR-331-3p	FGF22	0.632
hsa-miR-187-3p	AMBP	0.033
hsa-miR-187-3p	FGF22	0.318
hsa-miR-3150a-3p	AMBP	0.0
hsa-miR-3150a-3p	FGF22	0.449
hsa-miR-4433b-3p	FGF22	0.884
hsa-miR-4433b-3p	AMBP	0.13
hsa-miR-924	AMBP	0.591
hsa-miR-924	FGF22	0.0
hsa-miR-523-3p	FGF22	0.0
hsa-miR-523-3p	AMBP	0.0
hsa-miR-577	AMBP	0.0
hsa-miR-577	FGF22	0.0
hsa-miR-579-3p	AMBP	0.0
hsa-miR-579-3p	FGF22	0.0
hsa-miR-382-5p	AMBP	0.0
hsa-miR-382-5p	FGF22	0.451
hsa-miR-4770	AMBP	0.0
hsa-miR-4770	FGF22	0.842
hsa-miR-8083	FGF22	0.0
hsa-miR-8083	AMBP	0.239
hsa-miR-218-1-3p	AMBP	0.0
hsa-miR-218-1-3p	FGF22	0.0
hsa-miR-6877-3p	AMBP	0.024
hsa-miR-6877-3p	FGF22	0.358
hsa-miR-3115	AMBP	0.0
hsa-miR-3115	FGF22	0.0
hsa-miR-4746-5p	FGF22	0.1
hsa-miR-4746-5p	AMBP	0.084
hsa-miR-5010-3p	FGF22	0.224
hsa-miR-5010-3p	AMBP	0.044
hsa-miR-376a-5p	AMBP	0.0
hsa-miR-376a-5p	FGF22	0.0
hsa-miR-188-5p	FGF22	0.348
hsa-miR-188-5p	AMBP	0.0
hsa-miR-7978	AMBP	0.213
hsa-miR-7978	FGF22	0.204
hsa-miR-4507	FGF22	0.552
hsa-miR-4507	AMBP	0.139
hsa-miR-495-3p	AMBP	0.0
hsa-miR-495-3p	FGF22	0.0
hsa-miR-4293	AMBP	0.816
hsa-miR-4293	FGF22	0.394
hsa-miR-4516	AMBP	0.194
hsa-miR-4516	FGF22	0.769
hsa-miR-4475	AMBP	0.0
hsa-miR-4475	FGF22	0.228
hsa-miR-1910-3p	AMBP	0.405
hsa-miR-1910-3p	FGF22	0.919
hsa-miR-4681	FGF22	0.0
hsa-miR-4681	AMBP	0.0
hsa-miR-152-5p	AMBP	0.0
hsa-miR-152-5p	FGF22	0.0
hsa-miR-409-3p	AMBP	0.0
hsa-miR-409-3p	FGF22	0.439
hsa-miR-204-5p	AMBP	0.0
hsa-miR-204-5p	FGF22	0.03
hsa-miR-4787-3p	AMBP	0.0
hsa-miR-4787-3p	FGF22	0.0
hsa-miR-6071	FGF22	0.334
hsa-miR-6071	AMBP	0.149
hsa-miR-3920	FGF22	0.0
hsa-miR-3920	AMBP	0.451
hsa-miR-6879-5p	FGF22	0.829
hsa-miR-6879-5p	AMBP	0.207
hsa-miR-548az-3p	FGF22	0.0
hsa-miR-548az-3p	AMBP	0.0
hsa-miR-6878-3p	FGF22	0.912
hsa-miR-6878-3p	AMBP	0.47
hsa-miR-183-5p	AMBP	0.0
hsa-miR-183-5p	FGF22	0.545
hsa-miR-544a	FGF22	0.0
hsa-miR-544a	AMBP	0.0
hsa-miR-135b-3p	AMBP	0.0
hsa-miR-135b-3p	FGF22	0.0
hsa-miR-7973	AMBP	0.0
hsa-miR-7973	FGF22	0.0
hsa-miR-548ai	AMBP	0.0
hsa-miR-548ai	FGF22	0.0
hsa-miR-501-3p	FGF22	0.0
hsa-miR-501-3p	AMBP	0.0
hsa-miR-4695-5p	FGF22	0.3
hsa-miR-4695-5p	AMBP	0.569
hsa-miR-1251-3p	FGF22	0.865
hsa-miR-1251-3p	AMBP	0.0
hsa-miR-4692	FGF22	0.557
hsa-miR-4692	AMBP	0.258
hsa-miR-103b	AMBP	0.0
hsa-miR-103b	FGF22	0.0
hsa-miR-548ao-5p	FGF22	0.0
hsa-miR-548ao-5p	AMBP	0.0
hsa-miR-3665	FGF22	1.01
hsa-miR-3665	AMBP	0.0
hsa-miR-524-3p	AMBP	0.0
hsa-miR-524-3p	FGF22	0.0
hsa-miR-214-3p	FGF22	0.242
hsa-miR-214-3p	AMBP	0.0
hsa-miR-1197	AMBP	0.0
hsa-miR-1197	FGF22	0.0
hsa-miR-6087	FGF22	0.529
hsa-miR-6087	AMBP	0.051
hsa-miR-3141	AMBP	0.636
hsa-miR-3141	FGF22	1.159
hsa-miR-6885-3p	FGF22	0.57
hsa-miR-6885-3p	AMBP	0.0
hsa-miR-346	FGF22	0.232
hsa-miR-346	AMBP	0.071
hsa-miR-21-5p	AMBP	0.0
hsa-miR-21-5p	FGF22	0.0
hsa-miR-197-3p	AMBP	0.075
hsa-miR-197-3p	FGF22	0.289
hsa-miR-5582-3p	AMBP	0.0
hsa-miR-5582-3p	FGF22	0.0
hsa-miR-4786-5p	AMBP	0.461
hsa-miR-4786-5p	FGF22	0.0
hsa-miR-205-3p	AMBP	0.0
hsa-miR-205-3p	FGF22	0.0
hsa-miR-513c-5p	FGF22	0.0
hsa-miR-513c-5p	AMBP	0.0
hsa-miR-8066	AMBP	0.0
hsa-miR-8066	FGF22	0.0
hsa-miR-145-5p	AMBP	0.0
hsa-miR-145-5p	FGF22	0.138
hsa-miR-5693	FGF22	0.0
hsa-miR-5693	AMBP	0.0
hsa-miR-4801	FGF22	0.0
hsa-miR-4801	AMBP	0.0
hsa-miR-4780	FGF22	0.252
hsa-miR-4780	AMBP	0.764
hsa-miR-3935	FGF22	0.0
hsa-miR-3935	AMBP	0.0
hsa-miR-602	FGF22	0.236
hsa-miR-602	AMBP	0.067
hsa-miR-2355-5p	AMBP	0.562
hsa-miR-2355-5p	FGF22	1.197
hsa-miR-8065	AMBP	0.0
hsa-miR-8065	FGF22	0.0
hsa-miR-4252	AMBP	0.0
hsa-miR-4252	FGF22	0.794
hsa-miR-4768-3p	FGF22	0.005
hsa-miR-4768-3p	AMBP	0.668
hsa-miR-552-5p	FGF22	0.0
hsa-miR-552-5p	AMBP	0.0
hsa-miR-668-5p	FGF22	0.583
hsa-miR-668-5p	AMBP	0.0
hsa-miR-5582-5p	AMBP	0.0
hsa-miR-5582-5p	FGF22	0.0
hsa-miR-6124	FGF22	0.446
hsa-miR-6124	AMBP	0.254
hsa-miR-4453	FGF22	0.985
hsa-miR-4453	AMBP	0.194
hsa-miR-3689b-3p	AMBP	0.0
hsa-miR-3689b-3p	FGF22	0.508
hsa-miR-433-3p	AMBP	0.0
hsa-miR-433-3p	FGF22	0.088
hsa-miR-187-5p	AMBP	0.0
hsa-miR-187-5p	FGF22	0.052
hsa-miR-1293	AMBP	0.0
hsa-miR-1293	FGF22	0.22
hsa-miR-613	AMBP	0.0
hsa-miR-613	FGF22	0.0
hsa-miR-6830-5p	AMBP	0.0
hsa-miR-6830-5p	FGF22	0.0
hsa-miR-4749-3p	AMBP	0.404
hsa-miR-4749-3p	FGF22	0.96
hsa-miR-1225-3p	FGF22	0.474
hsa-miR-1225-3p	AMBP	0.01
hsa-miR-4643	FGF22	0.0
hsa-miR-4643	AMBP	0.314
hsa-miR-6850-3p	FGF22	0.917
hsa-miR-6850-3p	AMBP	0.0
hsa-miR-302d-3p	AMBP	0.0
hsa-miR-302d-3p	FGF22	0.0
hsa-miR-210-3p	FGF22	0.429
hsa-miR-210-3p	AMBP	0.0
hsa-miR-6762-5p	FGF22	0.144
hsa-miR-6762-5p	AMBP	0.0
hsa-miR-3177-3p	AMBP	0.0
hsa-miR-3177-3p	FGF22	0.0
hsa-miR-4687-5p	FGF22	0.349
hsa-miR-4687-5p	AMBP	0.067
hsa-miR-2682-5p	FGF22	0.0
hsa-miR-2682-5p	AMBP	0.036
hsa-miR-520f-3p	FGF22	0.0
hsa-miR-520f-3p	AMBP	0.0
hsa-miR-656-5p	FGF22	0.772
hsa-miR-656-5p	AMBP	0.376
hsa-miR-5197-3p	AMBP	0.0
hsa-miR-5197-3p	FGF22	0.0
hsa-miR-487a-3p	AMBP	0.0
hsa-miR-487a-3p	FGF22	0.0
hsa-miR-30d-5p	AMBP	0.0
hsa-miR-30d-5p	FGF22	0.0
hsa-miR-548av-5p	AMBP	0.0
hsa-miR-548av-5p	FGF22	0.054
hsa-miR-6827-3p	FGF22	0.462
hsa-miR-6827-3p	AMBP	0.375
hsa-miR-518d-5p	AMBP	0.0
hsa-miR-518d-5p	FGF22	0.487
hsa-miR-637	FGF22	0.0
hsa-miR-637	AMBP	0.0
hsa-miR-4740-5p	AMBP	0.15
hsa-miR-4740-5p	FGF22	0.4
hsa-miR-7108-5p	FGF22	0.565
hsa-miR-7108-5p	AMBP	0.427
hsa-miR-6887-5p	FGF22	0.279
hsa-miR-6887-5p	AMBP	0.171
hsa-miR-520b	FGF22	0.033
hsa-miR-520b	AMBP	0.0
hsa-miR-3690	AMBP	0.174
hsa-miR-3690	FGF22	0.0
hsa-miR-34b-5p	AMBP	0.0
hsa-miR-34b-5p	FGF22	0.0
hsa-miR-6786-3p	AMBP	0.0
hsa-miR-6786-3p	FGF22	0.0
hsa-miR-518a-3p	AMBP	0.0
hsa-miR-518a-3p	FGF22	0.0
hsa-miR-645	AMBP	0.217
hsa-miR-645	FGF22	0.753
hsa-miR-3975	AMBP	0.0
hsa-miR-3975	FGF22	0.52
hsa-miR-17-5p	FGF22	0.0
hsa-miR-17-5p	AMBP	0.0
hsa-miR-4524b-3p	AMBP	0.0
hsa-miR-4524b-3p	FGF22	0.0
hsa-miR-6895-3p	FGF22	0.451
hsa-miR-6895-3p	AMBP	0.0
hsa-miR-6873-5p	FGF22	0.257
hsa-miR-6873-5p	AMBP	0.0
hsa-miR-4674	FGF22	0.52
hsa-miR-4674	AMBP	0.0
hsa-miR-3200-5p	FGF22	0.237
hsa-miR-3200-5p	AMBP	0.0
hsa-miR-2909	AMBP	0.434
hsa-miR-2909	FGF22	0.0
hsa-miR-4730	AMBP	0.101
hsa-miR-4730	FGF22	0.096
hsa-miR-3681-5p	AMBP	0.0
hsa-miR-3681-5p	FGF22	0.207
hsa-miR-6876-5p	AMBP	0.015
hsa-miR-6876-5p	FGF22	0.179
hsa-miR-302b-3p	AMBP	0.0
hsa-miR-302b-3p	FGF22	0.0
hsa-miR-92b-3p	FGF22	0.0
hsa-miR-92b-3p	AMBP	0.0
hsa-miR-3140-5p	FGF22	0.182
hsa-miR-3140-5p	AMBP	0.0
hsa-miR-3680-5p	FGF22	0.0
hsa-miR-3680-5p	AMBP	0.039
hsa-miR-8069	FGF22	0.0
hsa-miR-8069	AMBP	0.0
hsa-miR-6506-3p	AMBP	0.0
hsa-miR-6506-3p	FGF22	0.0
hsa-miR-3187-3p	FGF22	0.387
hsa-miR-3187-3p	AMBP	0.0
hsa-miR-758-5p	AMBP	0.0
hsa-miR-758-5p	FGF22	0.0
hsa-miR-5089-3p	FGF22	0.0
hsa-miR-5089-3p	AMBP	0.0
hsa-miR-3977	FGF22	0.348
hsa-miR-3977	AMBP	0.0
hsa-miR-5682	AMBP	0.0
hsa-miR-5682	FGF22	0.0
hsa-miR-377-5p	AMBP	0.0
hsa-miR-377-5p	FGF22	0.0
hsa-miR-4695-3p	AMBP	0.073
hsa-miR-4695-3p	FGF22	0.204
hsa-miR-562	FGF22	0.0
hsa-miR-562	AMBP	0.236
hsa-miR-4328	FGF22	1.306
hsa-miR-4328	AMBP	1.322
hsa-miR-202-3p	AMBP	0.0
hsa-miR-202-3p	FGF22	0.553
