Function ID	Function Description
32607	GO:0098908
32608	GO:1905150
32609	GO:2001258
32610	GO:1904340
32611	GO:0030389
32612	GO:0030393
32613	GO:0036525
32614	GO:0102193
32615	GO:0102194
32616	GO:0034988
32617	GO:0031870
32618	GO:0004370
32619	GO:0019563
32620	GO:0046167
32621	GO:0003973
32622	GO:0052852
32623	GO:0052853
32624	GO:0052854
32625	GO:0030109
32626	GO:0004392
32627	GO:0006788
32628	GO:0004463
32629	GO:0045148
32630	GO:0002485
32631	GO:0042610
32632	GO:0034156
32633	GO:0032075
32634	GO:0032392
32635	GO:0000720
32636	GO:0040034
32637	GO:1901666
32638	GO:0071074
32639	GO:0005638
32640	GO:0031626
32641	GO:1901142
32642	GO:0016964
32643	GO:0030226
32644	GO:0032429
32645	GO:0048691
32646	GO:0048694
32647	GO:0061642
32648	GO:0070325
32649	GO:1900149
32650	GO:1904109
32651	GO:1905167
32652	GO:0002323
32653	GO:0005132
32654	GO:0033885
32655	GO:0046272
32656	GO:0097176
32657	GO:0045898
32658	GO:0003796
32659	GO:0015923
32660	GO:1904381
32661	GO:0005289
32662	GO:0005292
32663	GO:0089709
32664	GO:1902616
32665	GO:1903400
32666	GO:1903401
32667	GO:1990575
32668	GO:0070084
32669	GO:0031995
32670	GO:0002875
32671	GO:0005141
32672	GO:0034465
32673	GO:0042092
32674	GO:0045191
32675	GO:0060302
32676	GO:1903034
32677	GO:0060847
32678	GO:2001055
32679	GO:0042007
32680	GO:0005144
32681	GO:0033861
32682	GO:1901247
32683	GO:1901251
32684	GO:1903660
32685	GO:2000231
32686	GO:0030368
32687	GO:0004833
32688	GO:0019441
32689	GO:0033754
32690	GO:0042501
32691	GO:0002664
32692	GO:0004911
32693	GO:0005893
32694	GO:0019976
32695	GO:0046013
32696	GO:0060602
32697	GO:0007258
32698	GO:0044302
32699	GO:2000564
32700	GO:0005221
32701	GO:0004454
32702	GO:0050833
32703	GO:0055131
32704	GO:0086008
32705	GO:0086011
32706	GO:0097623
32707	GO:0098915
32708	GO:1902282
32709	GO:1902937
32710	GO:1903765
32711	GO:0005954
32712	GO:0014733
32713	GO:0072708
32714	GO:0072710
32715	GO:0072716
32716	GO:0072720
32717	GO:0072739
32718	GO:0034705
32719	GO:0021685
32720	GO:0033624
32721	GO:1903429
32722	GO:0045835
32723	GO:0000451
32724	GO:0070039
32725	GO:0048333
32726	GO:0071557
32727	GO:0071558
32728	GO:0006482
32729	GO:0032454
32730	GO:0033169
32731	GO:0035574
32732	GO:0035575
32733	GO:0051864
32734	GO:0070544
32735	GO:0140554
32736	GO:0004017
32737	GO:0006173
32738	GO:0006174
32739	GO:0006186
32740	GO:0006756
32741	GO:0006757
32742	GO:0061508
32743	GO:0061565
32744	GO:0061566
32745	GO:0061567
32746	GO:0061568
32747	GO:0061569
32748	GO:0061570
32749	GO:0061571
32750	GO:0002296
32751	GO:0002480
32752	GO:0000972
32753	GO:0022607
32754	GO:0043973
32755	GO:0005606
32756	GO:0043259
32757	GO:0043260
32758	GO:0061740
32759	GO:0061742
32760	GO:0097637
32761	GO:1990836
32762	GO:0051249
32763	GO:1903039
32764	GO:0004458
32765	GO:0008720
32766	GO:1903457
32767	GO:0017061
32768	GO:0036398
32769	GO:0019442
32770	GO:0030429
32771	GO:0034516
32772	GO:0061981
32773	GO:1900542
32774	GO:0009036
32775	GO:0032197
32776	GO:0032199
32777	GO:2000635
32778	GO:0045686
32779	GO:1901724
32780	GO:0004052
32781	GO:0016165
32782	GO:0019372
32783	GO:0033559
32784	GO:0034440
32785	GO:0047977
32786	GO:0050473
32787	GO:1901751
32788	GO:1905956
32789	GO:2001303
32790	GO:2001306
32791	GO:0070853
32792	GO:0010983
32793	GO:0046554
32794	GO:0071467
32795	GO:0072345
32796	GO:0097682
32797	GO:0000727
32798	GO:0042555
32799	GO:0048318
32800	GO:0060825
32801	GO:0090193
32802	GO:2000313
32803	GO:0071660
32804	GO:1900063
32805	GO:0097119
32806	GO:0098983
32807	GO:0008263
32808	GO:1902856
32809	GO:0099150
32810	GO:0004339
32811	GO:0005983
32812	GO:0032450
32813	GO:0031306
32814	GO:0061734
32815	GO:0033829
32816	GO:0005185
32817	GO:0031895
32818	GO:0048250
32819	GO:0007402
32820	GO:0008052
32821	GO:0042490
32822	GO:0061193
32823	GO:0004707
32824	GO:0000703
32825	GO:0008534
32826	GO:0006480
32827	GO:0018011
32828	GO:0018012
32829	GO:0018013
32830	GO:0018016
32831	GO:0035568
32832	GO:0035570
32833	GO:0035572
32834	GO:0035573
32835	GO:0071885
32836	GO:0032448
32837	GO:0003271
32838	GO:0030421
32839	GO:0106091
32840	GO:0071424
32841	GO:0018708
32842	GO:1901533
32843	GO:2000382
32844	GO:0019008
32845	GO:0030366
32846	GO:0010789
32847	GO:0005055
32848	GO:0061400
32849	GO:0048105
32850	GO:0060488
32851	GO:0060489
32852	GO:0060490
32853	GO:0034238
32854	GO:0035783
32855	GO:0043128
32856	GO:1903911
32857	GO:1904352
32858	GO:1905676
32859	GO:0004798
32860	GO:0006227
32861	GO:0006233
32862	GO:0009041
32863	GO:0035594
32864	GO:0044091
32865	GO:0103046
32866	GO:0002058
32867	GO:0006145
32868	GO:0006208
32869	GO:0006210
32870	GO:0006212
32871	GO:0006214
32872	GO:0017113
32873	GO:0019483
32874	GO:0000214
32875	GO:0046404
32876	GO:0051731
32877	GO:0051733
32878	GO:0051736
32879	GO:0006875
32880	GO:0048295
32881	GO:0070293
32882	GO:0005586
32883	GO:2000256
32884	GO:0002769
32885	GO:0030547
32886	GO:0035088
32887	GO:0016185
32888	GO:0031798
32889	GO:0061828
32890	GO:0061829
32891	GO:0098844
32892	GO:0099186
32893	GO:0031304
32894	GO:0055065
32895	GO:0051204
32896	GO:0019871
32897	GO:1902306
32898	GO:0102116
32899	GO:0103002
32900	GO:0055077
32901	GO:1990393
32902	GO:0019956
32903	GO:0086020
32904	GO:0086021
32905	GO:0086077
32906	GO:0019074
32907	GO:0061830
32908	GO:0097227
32909	GO:0035375
32910	GO:0042494
32911	GO:0006288
32912	GO:0043504
32913	GO:0070421
32914	GO:0070524
32915	GO:0033567
32916	GO:0051750
32917	GO:0009593
32918	GO:0015501
32919	GO:0051938
32920	GO:0140009
32921	GO:0045924
32922	GO:0046960
32923	GO:1900077
32924	GO:1905451
32925	GO:0045110
32926	GO:1905041
32927	GO:0016576
32928	GO:0004334
32929	GO:1902000
32930	GO:0050613
32931	GO:0007321
32932	GO:0051758
32933	GO:0002416
32934	GO:2001065
32935	GO:1905553
32936	GO:0010966
32937	GO:0090080
32938	GO:0044803
32939	GO:0004310
32940	GO:0045338
32941	GO:0051996
32942	GO:0090277
32943	GO:0018117
32944	GO:0044602
32945	GO:0044603
32946	GO:0070733
32947	GO:0032876
32948	GO:0045841
32949	GO:2001021
32950	GO:0098890
32951	GO:0006681
32952	GO:0006600
32953	GO:0006601
32954	GO:0030731
32955	GO:0004560
32956	GO:0019377
32957	GO:0004375
32958	GO:0036255
32959	GO:0070280
32960	GO:1903442
32961	GO:2000812
32962	GO:0042701
32963	GO:0043509
32964	GO:0046880
32965	GO:0060279
32966	GO:0045125
32967	GO:0003975
32968	GO:0003976
32969	GO:0008963
32970	GO:2001070
32971	GO:0004790
32972	GO:0030748
32973	GO:0102707
32974	GO:0009912
32975	GO:1990134
32976	GO:1904577
32977	GO:0004512
32978	GO:0006021
32979	GO:0038110
32980	GO:0005143
32981	GO:0007260
32982	GO:0031959
32983	GO:0035401
32984	GO:0035409
32985	GO:0035722
32986	GO:0038065
32987	GO:0070757
32988	GO:1902728
32989	GO:0002731
32990	GO:0035771
32991	GO:0045221
32992	GO:0004372
32993	GO:0006563
32994	GO:0008732
32995	GO:0019264
32996	GO:0008446
32997	GO:0032564
32998	GO:0005353
32999	GO:0051541
33000	GO:0061030
33001	GO:0070101
33002	GO:1903377
33003	GO:0034739
33004	GO:0051153
33005	GO:1990678
33006	GO:0090486
33007	GO:0051135
33008	GO:0044778
33009	GO:2000296
33010	GO:0070194
33011	GO:0016818
33012	GO:0008467
33013	GO:0015015
33014	GO:0033872
33015	GO:0042138
33016	GO:0060629
33017	GO:0014805
33018	GO:0030213
33019	GO:0045917
33020	GO:1902680
33021	GO:0019087
33022	GO:0070060
33023	GO:0070493
33024	GO:0003938
33025	GO:0006177
33026	GO:0004559
33027	GO:0004569
33028	GO:1903302
33029	GO:0051308
33030	GO:1990112
33031	GO:1990116
33032	GO:0060620
33033	GO:0009253
33034	GO:0016998
33035	GO:0002762
33036	GO:0002774
33037	GO:0006991
33038	GO:0034666
33039	GO:0043208
33040	GO:0070447
33041	GO:0070668
33042	GO:0090025
33043	GO:1902532
33044	GO:0016202
33045	GO:0035905
33046	GO:0035906
33047	GO:0061448
33048	GO:1900120
33049	GO:2000586
33050	GO:0002193
33051	GO:0003827
33052	GO:0006049
33053	GO:0008455
33054	GO:0098799
33055	GO:0003830
33056	GO:1905166
33057	GO:0090296
33058	GO:0106347
33059	GO:0120049
33060	GO:1903108
33061	GO:0052735
33062	GO:0001841
33063	GO:0008174
33064	GO:0106370
33065	GO:0008493
33066	GO:0008705
33067	GO:0042558
33068	GO:0033229
33069	GO:0043474
33070	GO:0071702
33071	GO:1903712
33072	GO:0046624
33073	GO:0008147
33074	GO:0015098
33075	GO:0019417
33076	GO:1903305
33077	GO:0052836
33078	GO:0052839
33079	GO:0097243
33080	GO:1905396
33081	GO:0048936
33082	GO:0060379
33083	GO:0060913
33084	GO:1901258
33085	GO:0072709
33086	GO:0072740
33087	GO:0034124
33088	GO:0035683
33089	GO:0016316
33090	GO:0017161
33091	GO:0034597
33092	GO:0052828
33093	GO:0034680
33094	GO:0098639
33095	GO:0005220
33096	GO:0003366
33097	GO:0034669
33098	GO:0090074
33099	GO:0098657
33100	GO:1990771
33101	GO:0055005
33102	GO:0070375
33103	GO:0075506
33104	GO:0098892
33105	GO:0034772
33106	GO:1904779
33107	GO:0001791
33108	GO:0070316
33109	GO:0007344
33110	GO:0014038
33111	GO:0031938
33112	GO:1902977
33113	GO:0060501
33114	GO:0061113
33115	GO:0008315
33116	GO:0010826
33117	GO:0001694
33118	GO:0004398
33119	GO:0006547
33120	GO:0004479
33121	GO:0071951
33122	GO:0045142
33123	GO:1990700
33124	GO:0090086
33125	GO:1903644
33126	GO:0000247
33127	GO:0005253
33128	GO:0036293
33129	GO:0042883
33130	GO:0070777
33131	GO:0070778
33132	GO:0072347
33133	GO:0090313
33134	GO:0098877
33135	GO:0099544
33136	GO:0140010
33137	GO:0150002
33138	GO:0106325
33139	GO:0106326
33140	GO:0019060
33141	GO:0075521
33142	GO:0004531
33143	GO:0072697
33144	GO:0098592
33145	GO:1903753
33146	GO:1990175
33147	GO:0070054
33148	GO:0098787
33149	GO:1990332
33150	GO:1990579
33151	GO:1990597
33152	GO:1990630
33153	GO:0043540
33154	GO:0008889
33155	GO:0019695
33156	GO:0047390
33157	GO:0005996
33158	GO:0030309
33159	GO:0019058
33160	GO:0090472
33161	GO:0097341
33162	GO:1901394
33163	GO:0004966
33164	GO:0090663
33165	GO:0035880
33166	GO:1904825
33167	GO:1904393
33168	GO:1904394
33169	GO:0010722
33170	GO:0018283
33171	GO:0051349
33172	GO:1904231
33173	GO:1904234
33174	GO:1990221
33175	GO:0043028
33176	GO:0071444
33177	GO:0036117
33178	GO:0050501
33179	GO:0004919
33180	GO:0072750
33181	GO:1901707
33182	GO:0005126
33183	GO:0005140
33184	GO:0001552
33185	GO:0033906
33186	GO:2000355
33187	GO:0016942
33188	GO:1901862
33189	GO:1904205
33190	GO:1900260
33191	GO:0045226
33192	GO:0005133
33193	GO:0032834
33194	GO:0060550
33195	GO:0060552
33196	GO:1904440
33197	GO:0070124
33198	GO:0072715
33199	GO:1904570
33200	GO:1904574
33201	GO:0032003
33202	GO:0007518
33203	GO:1990718
33204	GO:0071357
33205	GO:0036372
33206	GO:0002113
33207	GO:0002114
33208	GO:0004908
33209	GO:0004909
33210	GO:0019439
33211	GO:0033961
33212	GO:0042219
33213	GO:0061929
33214	GO:0051049
33215	GO:0031370
33216	GO:0019202
33217	GO:0047992
33218	GO:0001910
33219	GO:0010477
33220	GO:0034698
33221	GO:0006323
33222	GO:0051935
33223	GO:0060300
33224	GO:0043207
33225	GO:0021759
33226	GO:0097338
33227	GO:0060887
33228	GO:1905426
33229	GO:0098971
33230	GO:1990049
33231	GO:0034647
33232	GO:0034648
33233	GO:0034720
33234	GO:0017095
33235	GO:0004496
33236	GO:0019287
33237	GO:0003870
33238	GO:0050828
33239	GO:0004563
33240	GO:0015929
33241	GO:0102148
33242	GO:0004418
33243	GO:0018160
33244	GO:0002792
33245	GO:0035691
33246	GO:0035693
33247	GO:0042658
33248	GO:1901986
33249	GO:1904009
33250	GO:1904010
33251	GO:0004394
33252	GO:0033871
33253	GO:0010186
33254	GO:0038172
33255	GO:0120042
33256	GO:0150142
33257	GO:0150145
33258	GO:0036316
33259	GO:0030682
33260	GO:0000825
33261	GO:0047325
33262	GO:0052725
33263	GO:0052726
33264	GO:0052746
33265	GO:1903565
33266	GO:0034681
33267	GO:0006971
33268	GO:0010694
33269	GO:0031346
33270	GO:0033343
33271	GO:0034667
33272	GO:0097205
33273	GO:0002273
33274	GO:0034687
33275	GO:0034688
33276	GO:0034689
33277	GO:2000363
33278	GO:0016602
33279	GO:0034686
33280	GO:0060022
33281	GO:0061520
33282	GO:1901388
33283	GO:0016938
33284	GO:0002189
33285	GO:0004749
33286	GO:0002542
33287	GO:0042659
33288	GO:0050865
33289	GO:0016461
33290	GO:0098875
33291	GO:0017118
33292	GO:0021937
33293	GO:0010455
33294	GO:0048822
33295	GO:0004470
33296	GO:0004471
33297	GO:0004473
33298	GO:0008948
33299	GO:1902031
33300	GO:0004572
33301	GO:0006013
33302	GO:0016799
33303	GO:0048820
33304	GO:0032074
33305	GO:0046496
33306	GO:1904931
33307	GO:0032274
33308	GO:0044029
33309	GO:0070265
33310	GO:0098631
33311	GO:0070197
33312	GO:0002169
33313	GO:0004485
33314	GO:1905202
33315	GO:0015016
33316	GO:0050119
33317	GO:0102140
33318	GO:1903126
33319	GO:1901557
33320	GO:0004482
33321	GO:0031533
33322	GO:0016661
33323	GO:0030151
33324	GO:0051410
33325	GO:0098809
33326	GO:0032406
33327	GO:0032408
33328	GO:0036298
33329	GO:0097362
33330	GO:0070716
33331	GO:1904291
33332	GO:0002495
33333	GO:0008349
33334	GO:0061702
33335	GO:0000309
33336	GO:1990966
33337	GO:0004379
33338	GO:0006499
33339	GO:0018008
33340	GO:0019107
33341	GO:0042180
33342	GO:0003157
33343	GO:0003160
33344	GO:0003182
33345	GO:0003214
33346	GO:0003219
33347	GO:0003241
33348	GO:0003270
33349	GO:0007440
33350	GO:0045967
33351	GO:0060528
33352	GO:0060768
33353	GO:0060843
33354	GO:0062043
33355	GO:0072017
33356	GO:1903849
33357	GO:0000023
33358	GO:0005985
33359	GO:0043181
33360	GO:0035695
33361	GO:0030144
33362	GO:0010712
33363	GO:0048050
33364	GO:0062157
33365	GO:0090068
33366	GO:0000019
33367	GO:0030870
33368	GO:0097552
33369	GO:0110025
33370	GO:0032277
33371	GO:0042175
33372	GO:0001602
33373	GO:0006850
33374	GO:0110032
33375	GO:0097013
33376	GO:0003290
33377	GO:1903202
33378	GO:0035426
33379	GO:0061301
33380	GO:0110135
33381	GO:0061144
33382	GO:1902691
33383	GO:0014822
33384	GO:0048371
33385	GO:0048613
33386	GO:0060461
33387	GO:1904492
33388	GO:1904493
33389	GO:0004161
33390	GO:0004337
33391	GO:0033384
33392	GO:0045337
33393	GO:0021784
33394	GO:0032770
33395	GO:0060688
33396	GO:0071139
33397	GO:0004420
33398	GO:0006743
33399	GO:0004340
33400	GO:0008865
33401	GO:0019158
33402	GO:0019318
33403	GO:0047394
33404	GO:1903382
33405	GO:0004311
33406	GO:0006720
33407	GO:0033386
33408	GO:0030622
33409	GO:0034718
33410	GO:0043614
33411	GO:0044207
33412	GO:1905098
33413	GO:0032350
33414	GO:0005093
33415	GO:0021615
33416	GO:0070861
33417	GO:0099507
33418	GO:0000301
33419	GO:0008048
33420	GO:0071674
33421	GO:0072272
33422	GO:0003044
33423	GO:0106001
33424	GO:1990539
33425	GO:0031508
33426	GO:0031509
33427	GO:1902340
33428	GO:0004970
33429	GO:0004971
33430	GO:0004325
33431	GO:0017085
33432	GO:0046501
33433	GO:0099637
33434	GO:2000588
33435	GO:0070572
33436	GO:1901299
33437	GO:0002270
33438	GO:0019826
33439	GO:0036138
33440	GO:0036139
33441	GO:0036140
33442	GO:0042265
33443	GO:0102113
33444	GO:0002134
33445	GO:0002135
33446	GO:0017098
33447	GO:0051248
33448	GO:1901389
33449	GO:1905323
33450	GO:1990917
33451	GO:0019742
33452	GO:1904924
33453	GO:1905370
33454	GO:0003868
33455	GO:0031249
33456	GO:0070370
33457	GO:1902380
33458	GO:0035623
33459	GO:0001097
33460	GO:0017130
33461	GO:0098577
33462	GO:1902889
33463	GO:1990280
33464	GO:0035262
33465	GO:0097380
33466	GO:0060720
33467	GO:0071748
33468	GO:0071750
33469	GO:0071752
33470	GO:0071756
33471	GO:0030001
33472	GO:0140058
33473	GO:0004657
33474	GO:0016645
33475	GO:0098560
33476	GO:0060764
33477	GO:0071936
33478	GO:0030917
33479	GO:0035261
33480	GO:0060026
33481	GO:0021541
33482	GO:0014041
33483	GO:0032473
33484	GO:0034211
33485	GO:0036479
33486	GO:0044753
33487	GO:0099400
33488	GO:1902803
33489	GO:1903125
33490	GO:1903217
33491	GO:1904887
33492	GO:1905289
33493	GO:0070086
33494	GO:0042278
33495	GO:0140291
33496	GO:0140293
33497	GO:0004450
33498	GO:0006097
33499	GO:0006741
33500	GO:1904465
33501	GO:0004452
33502	GO:0009240
33503	GO:0050992
33504	GO:0036164
33505	GO:1901342
33506	GO:0030354
33507	GO:0031777
33508	GO:0001069
33509	GO:0106262
33510	GO:0106263
33511	GO:0071301
33512	GO:1901797
33513	GO:1904404
33514	GO:0045903
33515	GO:2000403
33516	GO:0016412
33517	GO:0018191
33518	GO:0042568
33519	GO:0036379
33520	GO:0030171
33521	GO:0004484
33522	GO:0004651
33523	GO:0008192
33524	GO:0050355
33525	GO:0050480
33526	GO:0042010
33527	GO:0010720
33528	GO:0031906
33529	GO:0034105
33530	GO:0042164
33531	GO:0043514
33532	GO:0070743
33533	GO:2000330
33534	GO:0033210
33535	GO:0045091
33536	GO:0061514
33537	GO:0065004
33538	GO:0051707
33539	GO:0043000
33540	GO:0072497
33541	GO:1902488
33542	GO:0016807
33543	GO:0016701
33544	GO:0019310
33545	GO:0050113
33546	GO:0006627
33547	GO:0014044
33548	GO:0016427
33549	GO:0061056
33550	GO:2001178
33551	GO:0070847
33552	GO:0019076
33553	GO:0046745
33554	GO:0075732
33555	GO:0045604
33556	GO:0051296
33557	GO:1902103
33558	GO:0071469
33559	GO:0098782
33560	GO:0015269
33561	GO:0015271
33562	GO:0012502
33563	GO:0097214
33564	GO:1904093
33565	GO:0070564
33566	GO:0015196
33567	GO:1904556
33568	GO:0051956
33569	GO:0060358
33570	GO:0008817
33571	GO:0005712
33572	GO:0033787
33573	GO:0070988
33574	GO:0005607
33575	GO:0021812
33576	GO:0043256
33577	GO:0043257
33578	GO:0005610
33579	GO:0010463
33580	GO:0090427
33581	GO:0044088
33582	GO:0052629
33583	GO:0004459
33584	GO:2000645
33585	GO:0003958
33586	GO:0030586
33587	GO:1904042
33588	GO:1903203
33589	GO:0009256
33590	GO:0010309
33591	GO:0044307
33592	GO:0150001
33593	GO:0150014
33594	GO:2000575
33595	GO:0006393
33596	GO:0061708
33597	GO:0036016
33598	GO:0071788
33599	GO:0120115
33600	GO:1990726
33601	GO:0002945
33602	GO:0008120
33603	GO:0098856
33604	GO:0102769
33605	GO:1905342
33606	GO:0002434
33607	GO:0051788
33608	GO:0099020
33609	GO:1902847
33610	GO:1905892
33611	GO:1905895
33612	GO:0002334
33613	GO:0002447
33614	GO:0038173
33615	GO:0110012
33616	GO:0017071
33617	GO:0021630
33618	GO:0099105
33619	GO:1905042
33620	GO:0031501
33621	GO:0098507
33622	GO:0098519
33623	GO:0002934
33624	GO:0003165
33625	GO:0000140
33626	GO:0044265
33627	GO:0001306
33628	GO:0021523
33629	GO:1903940
33630	GO:0004157
33631	GO:0002083
33632	GO:0008412
33633	GO:0016765
33634	GO:0047293
33635	GO:0004498
33636	GO:0062185
33637	GO:0005169
33638	GO:0005170
33639	GO:0016495
33640	GO:0019960
33641	GO:0021626
33642	GO:0048874
33643	GO:0150090
33644	GO:1904150
33645	GO:0045728
33646	GO:0017076
33647	GO:0061975
33648	GO:0003105
33649	GO:0003174
33650	GO:0010652
33651	GO:0086044
33652	GO:0086055
33653	GO:0086075
33654	GO:0086076
33655	GO:0086078
33656	GO:0086079
33657	GO:0098905
33658	GO:0098906
33659	GO:1990029
33660	GO:1903919
33661	GO:1903920
33662	GO:1904427
33663	GO:1904398
33664	GO:1901723
33665	GO:2001170
33666	GO:0036119
33667	GO:0038109
33668	GO:1990442
33669	GO:1990622
33670	GO:0032984
33671	GO:0008419
33672	GO:0002176
33673	GO:0046661
33674	GO:0060903
33675	GO:1900107
33676	GO:0002828
33677	GO:0008579
33678	GO:0000444
33679	GO:0000818
33680	GO:0002943
33681	GO:0102264
33682	GO:0002059
33683	GO:0016519
33684	GO:0038192
33685	GO:0120022
33686	GO:1904526
33687	GO:0042321
33688	GO:0090325
33689	GO:0008612
33690	GO:0019135
33691	GO:0004168
33692	GO:0043048
33693	GO:0033981
33694	GO:0050178
33695	GO:0051433
33696	GO:0090149
33697	GO:1904579
33698	GO:1904666
33699	GO:1905395
33700	GO:2000302
33701	GO:0002443
33702	GO:0004500
33703	GO:0006589
33704	GO:0034466
33705	GO:0042309
33706	GO:0008887
33707	GO:0061624
33708	GO:0032776
33709	GO:1905642
33710	GO:0031151
33711	GO:0034729
33712	GO:0016891
33713	GO:0003335
33714	GO:0031583
33715	GO:0031707
33716	GO:0042313
33717	GO:0043179
33718	GO:0071389
33719	GO:0004686
33720	GO:0071454
33721	GO:1900022
33722	GO:0004771
33723	GO:0090122
33724	GO:0071600
33725	GO:0005176
33726	GO:0045175
33727	GO:0050313
33728	GO:0070813
33729	GO:0097377
33730	GO:1904936
33731	GO:0042038
33732	GO:1904729
33733	GO:2000755
33734	GO:0071049
33735	GO:0046036
33736	GO:0046712
33737	GO:0014843
33738	GO:0042660
33739	GO:0060978
33740	GO:1902748
33741	GO:1903587
33742	GO:0005527
33743	GO:0006458
33744	GO:2001239
33745	GO:0051280
33746	GO:0031981
33747	GO:0043998
33748	GO:0006046
33749	GO:0008448
33750	GO:0047419
33751	GO:0032038
33752	GO:0032803
33753	GO:0044557
33754	GO:0099580
33755	GO:1905060
33756	GO:0150011
33757	GO:0004514
33758	GO:0034213
33759	GO:0030718
33760	GO:0032661
33761	GO:0045751
33762	GO:1902624
33763	GO:1904841
33764	GO:0008273
33765	GO:1905246
33766	GO:0032879
33767	GO:0060471
33768	GO:0106333
33769	GO:0048257
33770	GO:0070290
33771	GO:0102200
33772	GO:0014707
33773	GO:0004621
33774	GO:0004630
33775	GO:0006507
33776	GO:0035701
33777	GO:0071401
33778	GO:0016558
33779	GO:1990429
33780	GO:0016462
33781	GO:0052731
33782	GO:0052732
33783	GO:0065010
33784	GO:0033883
33785	GO:0001561
33786	GO:0016560
33787	GO:0060152
33788	GO:0035883
33789	GO:0016561
33790	GO:0036250
33791	GO:0044721
33792	GO:0008592
33793	GO:0072677
33794	GO:0035251
33795	GO:0140561
33796	GO:0140562
33797	GO:0016557
33798	GO:0032581
33799	GO:0045046
33800	GO:0106101
33801	GO:0070481
33802	GO:0070651
33803	GO:0071025
33804	GO:0033328
33805	GO:0036105
33806	GO:0072663
33807	GO:1900131
33808	GO:0036393
33809	GO:0016868
33810	GO:0047933
33811	GO:0008973
33812	GO:0046386
33813	GO:0002149
33814	GO:0002679
33815	GO:1990268
33816	GO:0005914
33817	GO:0008478
33818	GO:0009443
33819	GO:0031403
33820	GO:0016920
33821	GO:0005052
33822	GO:0035971
33823	GO:0051350
33824	GO:2000984
33825	GO:0008444
33826	GO:0031628
33827	GO:0071691
33828	GO:1901231
33829	GO:1901233
33830	GO:0000469
33831	GO:0031118
33832	GO:0031120
33833	GO:0042983
33834	GO:1990926
33835	GO:0032021
33836	GO:0061394
33837	GO:0036221
33838	GO:1900535
33839	GO:0036114
33840	GO:0036116
33841	GO:1903580
33842	GO:0033597
33843	GO:1990298
33844	GO:0043271
33845	GO:0005947
33846	GO:0045763
33847	GO:0047323
33848	GO:0061339
33849	GO:0006580
33850	GO:1904681
33851	GO:0061501
33852	GO:1902866
33853	GO:0035543
33854	GO:0018350
33855	GO:0044258
33856	GO:0004595
33857	GO:0097310
33858	GO:0035597
33859	GO:0070900
33860	GO:0036502
33861	GO:1902775
33862	GO:2000623
33863	GO:0010999
33864	GO:0045993
33865	GO:0046986
33866	GO:0010814
33867	GO:0010816
33868	GO:0031302
33869	GO:0034959
33870	GO:1900225
33871	GO:1901532
33872	GO:0021761
33873	GO:0071109
33874	GO:0050633
33875	GO:0036325
33876	GO:1990357
33877	GO:0021528
33878	GO:0071245
33879	GO:1903754
33880	GO:0001906
33881	GO:0004102
33882	GO:0008292
33883	GO:0008390
33884	GO:0008495
33885	GO:0048034
33886	GO:1905460
33887	GO:1905931
33888	GO:0009820
33889	GO:0051100
33890	GO:0090350
33891	GO:0005582
33892	GO:0038029
33893	GO:1900127
33894	GO:0030974
33895	GO:0032475
33896	GO:0035675
33897	GO:0061526
33898	GO:0090422
33899	GO:0001826
33900	GO:0047888
33901	GO:1903780
33902	GO:0016479
33903	GO:0090042
33904	GO:1905000
33905	GO:1905031
33906	GO:2000192
33907	GO:0004136
33908	GO:0004138
33909	GO:0006220
33910	GO:0022890
33911	GO:0019203
33912	GO:0046838
33913	GO:0046959
33914	GO:2000465
33915	GO:0008079
33916	GO:0016149
33917	GO:0001712
33918	GO:0031392
33919	GO:0099178
33920	GO:0045145
33921	GO:2000193
33922	GO:0004506
33923	GO:0042669
33924	GO:0009181
33925	GO:0008852
33926	GO:0002292
33927	GO:0019767
33928	GO:0038094
33929	GO:0038156
33930	GO:0004313
33931	GO:0004314
33932	GO:0004315
33933	GO:0004316
33934	GO:0004317
33935	GO:0004320
33936	GO:0008659
33937	GO:0008693
33938	GO:0016295
33939	GO:0016296
33940	GO:0031177
33941	GO:0047117
33942	GO:0047451
33943	GO:0102131
33944	GO:0102132
33945	GO:0070008
33946	GO:0002758
33947	GO:0043299
33948	GO:0038102
33949	GO:1904638
33950	GO:0004397
33951	GO:0016841
33952	GO:0051598
33953	GO:0018812
33954	GO:1902608
33955	GO:0047341
33956	GO:0021568
33957	GO:0048483
33958	GO:0051960
33959	GO:0004361
33960	GO:0030142
33961	GO:0035478
33962	GO:0090321
33963	GO:0008709
33964	GO:0047015
33965	GO:0062173
33966	GO:0106281
33967	GO:0106282
33968	GO:0106283
33969	GO:0021535
33970	GO:0003017
33971	GO:0055017
33972	GO:0061960
33973	GO:0018312
33974	GO:0072572
33975	GO:0031084
33976	GO:0005150
33977	GO:0005151
33978	GO:0045352
33979	GO:0045353
33980	GO:0042008
33981	GO:0045092
33982	GO:0042017
33983	GO:0042018
33984	GO:0045523
33985	GO:0045625
33986	GO:1903901
33987	GO:0005225
33988	GO:0015734
33989	GO:0034702
33990	GO:1903118
33991	GO:0090226
33992	GO:0031686
33993	GO:0032962
33994	GO:0045031
33995	GO:0090075
33996	GO:0030091
33997	GO:0033743
33998	GO:0033745
33999	GO:0060989
34000	GO:0004980
34001	GO:0106018
34002	GO:0003944
34003	GO:0010607
34004	GO:0004163
34005	GO:0032227
