	ID_Geneontology_cellularcomponent__	Gene ontology (cellular component)
7647	early endosome [GO:0005769]; endosome [GO:0005768]; lysosome [GO:0005764]; membrane [GO:0016020]	7647
7648	cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]	7648
7649	centrosome [GO:0005813]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	7649
7650	cytosol [GO:0005829]; lamin filament [GO:0005638]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7650
7651	histone pre-mRNA 3'end processing complex [GO:0071204]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; telomerase holoenzyme complex [GO:0005697]; U7 snRNP [GO:0005683]	7651
7652	cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	7652
7653	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	7653
7654	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	7654
7655	astral microtubule [GO:0000235]; axon [GO:0030424]; cytoplasm [GO:0005737]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; spindle midzone [GO:0051233]	7655
7656	cytoplasm [GO:0005737]; cytosol [GO:0005829]; IkappaB kinase complex [GO:0008385]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]; ubiquitin ligase complex [GO:0000151]	7656
7657	endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; Ragulator complex [GO:0071986]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]	7657
7658	cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; protein-containing complex [GO:0032991]; Ragulator complex [GO:0071986]	7658
7659	excitatory synapse [GO:0060076]; extracellular region [GO:0005576]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]; postsynaptic density [GO:0014069]; postsynaptic density membrane [GO:0098839]	7659
7660	integral component of membrane [GO:0016021]; postsynaptic density [GO:0014069]	7660
7661	membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7661
7662	cell cortex [GO:0005938]; cell projection [GO:0042995]; cytosol [GO:0005829]; Flemming body [GO:0090543]; intercellular bridge [GO:0045171]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]	7662
7663	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	7663
7664	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	7664
7665	cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	7665
7666	cytosol [GO:0005829]; methionine adenosyltransferase complex [GO:0048269]	7666
7667	calcium channel complex [GO:0034704]; integral component of mitochondrial membrane [GO:0032592]; intracellular anatomical structure [GO:0005622]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; uniplex complex [GO:1990246]	7667
7668	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]	7668
7669	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]	7669
7670	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; integral component of membrane [GO:0016021]	7670
7671	chromosome [GO:0005694]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	7671
7672	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; receptor complex [GO:0043235]; RNA polymerase II transcription regulator complex [GO:0090575]	7672
7673	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]	7673
7674	chromatin [GO:0000785]; euchromatin [GO:0000791]; nucleoplasm [GO:0005654]; receptor complex [GO:0043235]	7674
7675	chromatin [GO:0000785]; intermediate filament cytoskeleton [GO:0045111]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]	7675
7676	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7676
7677	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinociliary basal body [GO:1902636]; motile cilium [GO:0031514]; nucleus [GO:0005634]	7677
7678	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; postsynapse [GO:0098794]; ruffle [GO:0001726]; ubiquitin ligase complex [GO:0000151]	7678
7679	cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]	7679
7680	mediator complex [GO:0016592]; ubiquitin ligase complex [GO:0000151]	7680
7681	cytoplasm [GO:0005737]; cytosol [GO:0005829]; heterochromatin [GO:0000792]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7681
7682	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; intracellular membrane-bounded organelle [GO:0043231]; microtubule [GO:0005874]	7682
7683	cell projection [GO:0042995]; integral component of membrane [GO:0016021]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]	7683
7684	cytosol [GO:0005829]; mediator complex [GO:0016592]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; ubiquitin ligase complex [GO:0000151]	7684
7685	clathrin-coated endocytic vesicle membrane [GO:0030669]; endosome [GO:0005768]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; transport vesicle [GO:0030133]	7685
7686	extracellular space [GO:0005615]; secretory granule membrane [GO:0030667]	7686
7687	integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]	7687
7688	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	7688
7689	extracellular space [GO:0005615]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	7689
7690	Cajal body [GO:0015030]; chromatin [GO:0000785]; chromocenter [GO:0010369]; chromosome, centromeric region [GO:0000775]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7690
7691	mitochondrial matrix [GO:0005759]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	7691
7692	extracellular exosome [GO:0070062]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]	7692
7693	nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7693
7694	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; polysome [GO:0005844]	7694
7695	chromosome, telomeric region [GO:0000781]; membrane [GO:0016020]; mismatch repair complex [GO:0032300]; MutSalpha complex [GO:0032301]; MutSbeta complex [GO:0032302]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7695
7696	cytoplasm [GO:0005737]; myosin complex [GO:0016459]	7696
7697	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]	7697
7698	cytoplasm [GO:0005737]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]	7698
7699	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear pore inner ring [GO:0044611]	7699
7700	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	7700
7701	cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]	7701
7702	axonal growth cone [GO:0044295]; cell surface [GO:0009986]; endocytic vesicle [GO:0030139]; endoplasmic reticulum [GO:0005783]; integral component of presynaptic membrane [GO:0099056]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734]; vesicle [GO:0031982]	7702
7703	cell projection [GO:0042995]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; vesicle [GO:0031982]	7703
7704	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; granular component [GO:0001652]; large ribosomal subunit [GO:0015934]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; small ribosomal subunit [GO:0015935]; spindle pole centrosome [GO:0031616]	7704
7705	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; smooth muscle contractile fiber [GO:0030485]	7705
7706	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	7706
7707	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; SPOTS complex [GO:0035339]	7707
7708	extracellular vesicle [GO:1903561]	7708
7709	cytoplasmic vesicle [GO:0031410]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]	7709
7710	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; site of DNA damage [GO:0090734]	7710
7711	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]	7711
7712	nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]	7712
7713	cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	7713
7714	cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; integral component of nuclear inner membrane [GO:0005639]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic specialization membrane [GO:0099060]; neuronal cell body [GO:0043025]; parallel fiber to Purkinje cell synapse [GO:0098688]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; receptor complex [GO:0043235]	7714
7715	BBSome [GO:0034464]; centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary membrane [GO:0060170]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytosol [GO:0005829]; motile cilium [GO:0031514]; non-motile cilium [GO:0097730]; nucleus [GO:0005634]; pericentriolar material [GO:0000242]	7715
7716	cyclin/CDK positive transcription elongation factor complex [GO:0008024]; cyclin K-CDK12 complex [GO:0002944]; cyclin K-CDK13 complex [GO:0002945]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7716
7717	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; keratohyalin granule [GO:0036457]	7717
7718	cytoplasm [GO:0005737]; interchromatin granule [GO:0035061]; membrane [GO:0016020]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; mRNA cleavage factor complex [GO:0005849]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; perichromatin fibrils [GO:0005726]; ribonucleoprotein complex [GO:1990904]	7718
7719	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; trans-Golgi network membrane [GO:0032588]	7719
7720	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; nucleolus [GO:0005730]; protein-containing complex [GO:0032991]	7720
7721	cell surface [GO:0009986]; endothelial microparticle [GO:0072563]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	7721
7722	cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; membrane [GO:0016020]; nucleus [GO:0005634]	7722
7723	cytoplasm [GO:0005737]; cytosol [GO:0005829]; elongator holoenzyme complex [GO:0033588]; nucleoplasm [GO:0005654]; transcription elongation factor complex [GO:0008023]	7723
7724	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]	7724
7725	cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]	7725
7726	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]	7726
7727	cytoplasm [GO:0005737]; cytosol [GO:0005829]; elongator holoenzyme complex [GO:0033588]; nucleolus [GO:0005730]; nucleus [GO:0005634]	7727
7728	chromatin [GO:0000785]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7728
7729	cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	7729
7730	COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; transport vesicle [GO:0030133]	7730
7731	acetylcholine-gated channel complex [GO:0005892]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; synapse [GO:0045202]	7731
7732	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respirasome [GO:0005746]; respiratory chain complex IV [GO:0045277]	7732
7733	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule [GO:0042581]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	7733
7734	endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]	7734
7735	cytosol [GO:0005829]; extrinsic component of postsynaptic membrane [GO:0098890]; neuromuscular junction [GO:0031594]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]	7735
7736	catalytic step 2 spliceosome [GO:0071013]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type catalytic step 2 spliceosome [GO:0071007]	7736
7737	integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]	7737
7738	endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]	7738
7739	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]	7739
7740	collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	7740
7741	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	7741
7742	CAK-ERCC2 complex [GO:0070516]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; MMXD complex [GO:0071817]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]	7742
7743	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA-splicing ligase complex [GO:0072669]	7743
7744	Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cullin-RING ubiquitin ligase complex [GO:0031461]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; SCF ubiquitin ligase complex [GO:0019005]	7744
7745	cytoplasmic microtubule [GO:0005881]; microtubule cytoskeleton [GO:0015630]	7745
7746	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; growth cone [GO:0030426]; membrane [GO:0016020]; plasma membrane [GO:0005886]	7746
7747	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; interphotoreceptor matrix [GO:0033165]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]; photoreceptor outer segment [GO:0001750]	7747
7748	nuclear envelope [GO:0005635]	7748
7749	cell surface [GO:0009986]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; integral component of postsynaptic density membrane [GO:0099061]; integral component of spine apparatus membrane [GO:0099065]; nucleus [GO:0005634]; postsynaptic endosome [GO:0098845]; postsynaptic membrane [GO:0045211]	7749
7750	chromatin [GO:0000785]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7750
7751	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7751
7752	cytosol [GO:0005829]; preribosome, large subunit precursor [GO:0030687]	7752
7753	cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; multivesicular body [GO:0005771]	7753
7754	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; nucleoplasm [GO:0005654]	7754
7755	cornified envelope [GO:0001533]; extracellular exosome [GO:0070062]	7755
7756	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; oligosaccharyltransferase complex [GO:0008250]	7756
7757	cytosol [GO:0005829]; fibrillar center [GO:0001650]; filamentous actin [GO:0031941]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]	7757
7758	dynein complex [GO:0030286]; extracellular exosome [GO:0070062]; inner dynein arm [GO:0036156]	7758
7759	anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule membrane [GO:0101003]; Golgi membrane [GO:0000139]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; transport vesicle [GO:0030133]	7759
7760	apical part of cell [GO:0045177]; axoneme [GO:0005930]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary tip [GO:0097542]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; motile cilium [GO:0031514]	7760
7761	centrosome [GO:0005813]; cytoplasmic dynein complex [GO:0005868]; cytosol [GO:0005829]; kinetochore [GO:0000776]; late endosome [GO:0005770]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule [GO:0005874]	7761
7762	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7762
7763	cell body [GO:0044297]; dendritic spine [GO:0043197]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	7763
7764	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]	7764
7765	dendrite [GO:0030425]; early endosome [GO:0005769]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]	7765
7766	centrosome [GO:0005813]; ciliary base [GO:0097546]; ciliary plasm [GO:0097014]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasmic dynein complex [GO:0005868]; extracellular space [GO:0005615]; pericentriolar material [GO:0000242]	7766
7767	cell junction [GO:0030054]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; focal adhesion [GO:0005925]; stress fiber [GO:0001725]	7767
7768	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; fibrinogen complex [GO:0005577]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]	7768
7769	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; sperm head [GO:0061827]	7769
7770	cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	7770
7771	cell leading edge [GO:0031252]; cytosol [GO:0005829]; microtubule [GO:0005874]; nucleus [GO:0005634]	7771
7772	cytoplasm [GO:0005737]; female pronucleus [GO:0001939]; nucleus [GO:0005634]	7772
7773	intermediate filament cytoskeleton [GO:0045111]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7773
7774	anchored component of membrane [GO:0031225]	7774
7775	chromatin [GO:0000785]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]	7775
7776	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]; microtubule [GO:0005874]; multi-eIF complex [GO:0043614]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]	7776
7777	anchored component of membrane [GO:0031225]; neuromuscular junction [GO:0031594]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]	7777
7778	adherens junction [GO:0005912]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic membrane [GO:0099056]; plasma membrane [GO:0005886]	7778
7779	mitochondrial inner membrane [GO:0005743]	7779
7780	collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; sarcoplasmic reticulum lumen [GO:0033018]	7780
7781	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; transcription elongation factor complex [GO:0008023]	7781
7782	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; tetraspanin-enriched microdomain [GO:0097197]	7782
7783	basement membrane [GO:0005604]; extracellular space [GO:0005615]; membrane [GO:0016020]	7783
