	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
8246	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; phosphoprotein binding [GO:0051219]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribosome binding [GO:0043022]; RNA polymerase III type 1 promoter sequence-specific DNA binding [GO:0001002]; RNA polymerase III type 2 promoter sequence-specific DNA binding [GO:0001003]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TFIIIC-class transcription factor complex binding [GO:0001156]; translation regulator activity [GO:0045182]	8246
8247	acetyl-CoA binding [GO:1905502]; N-acetyltransferase activity [GO:0008080]; peptide alpha-N-acetyltransferase activity [GO:0004596]	8247
8248	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; kinase binding [GO:0019900]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	8248
8249	guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]; small GTPase binding [GO:0031267]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	8249
8250	actin binding [GO:0003779]; ATP binding [GO:0005524]; motor activity [GO:0003774]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	8250
8251	phosphate ion transmembrane transporter activity [GO:0015114]; sialic acid transmembrane transporter activity [GO:0015136]; sodium:phosphate symporter activity [GO:0005436]; transmembrane transporter activity [GO:0022857]	8251
8252	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; peptidyl-proline 3-dioxygenase activity [GO:0031544]; peptidyl-proline dioxygenase activity [GO:0031543]	8252
8253	calcium channel regulator activity [GO:0005246]; G protein-coupled receptor activity [GO:0004930]; G protein-coupled receptor binding [GO:0001664]; hormone activity [GO:0005179]; neuropeptide hormone activity [GO:0005184]; neuropeptide Y receptor binding [GO:0031841]; signaling receptor binding [GO:0005102]	8253
8254	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	8254
8255	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; 1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]; 1-alkenylglycerophosphocholine O-acyltransferase activity [GO:0047159]; 1-alkylglycerophosphocholine O-acetyltransferase activity [GO:0047192]; 2-acylglycerol-3-phosphate O-acyltransferase activity [GO:0047144]; calcium ion binding [GO:0005509]; plasmalogen synthase activity [GO:0050200]	8255
8256	pH-gated chloride channel activity [GO:0061797]	8256
8257	carboxylic acid binding [GO:0031406]; ferrous iron binding [GO:0008198]; L-ascorbic acid binding [GO:0031418]; phytanoyl-CoA dioxygenase activity [GO:0048244]	8257
8258	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; serine-type endopeptidase activity [GO:0004252]	8258
8259	phosphatidylethanolamine binding [GO:0008429]; phosphatidylethanolamine N-methyltransferase activity [GO:0004608]; phosphatidyl-N-dimethylethanolamine N-methyltransferase activity [GO:0080101]; phosphatidyl-N-methylethanolamine N-methyltransferase activity [GO:0000773]	8259
8260	collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; extracellular matrix structural constituent conferring compression resistance [GO:0030021]; glycosaminoglycan binding [GO:0005539]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]	8260
8261	amyloid-beta binding [GO:0001540]; chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]	8261
8262	adrenomedullin receptor activity [GO:0001605]; amyloid-beta binding [GO:0001540]; coreceptor activity [GO:0015026]	8262
8263	chemoattractant activity [GO:0042056]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; vascular endothelial growth factor receptor binding [GO:0005172]	8263
8264	3-oxo-5-alpha-steroid 4-dehydrogenase activity [GO:0003865]; cholestenone 5-alpha-reductase activity [GO:0047751]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; polyprenol reductase activity [GO:0102389]	8264
8265	chloride channel activity [GO:0005254]; sodium channel regulator activity [GO:0017080]; transmembrane transporter binding [GO:0044325]	8265
8266	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]	8266
8267	actin binding [GO:0003779]; beta-catenin binding [GO:0008013]; chaperone binding [GO:0051087]; cullin family protein binding [GO:0097602]; enzyme binding [GO:0019899]; F-box domain binding [GO:1990444]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; PDZ domain binding [GO:0030165]; phospholipase binding [GO:0043274]; protein-containing complex binding [GO:0044877]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; transcription corepressor activity [GO:0003714]; tubulin binding [GO:0015631]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-specific protease binding [GO:1990381]; zinc ion binding [GO:0008270]	8267
8268	p53 binding [GO:0002039]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	8268
8269	metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]	8269
8270	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ribonucleoprotein complex binding [GO:0043021]; RIG-I binding [GO:0039552]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	8270
8271	axon guidance receptor activity [GO:0008046]; identical protein binding [GO:0042802]; LRR domain binding [GO:0030275]	8271
8272	beta-catenin binding [GO:0008013]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; ligand-activated transcription factor activity [GO:0098531]; nuclear receptor activity [GO:0004879]; oxysterol binding [GO:0008142]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription coactivator binding [GO:0001223]; transcription corepressor binding [GO:0001222]; zinc ion binding [GO:0008270]	8272
8273	axon guidance receptor activity [GO:0008046]; identical protein binding [GO:0042802]	8273
8274	metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]; ubiquitin binding [GO:0043130]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; ubiquitin protein ligase activity [GO:0061630]	8274
8275	chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; transmembrane transporter binding [GO:0044325]; zinc ion binding [GO:0008270]	8275
8276	14-3-3 protein binding [GO:0071889]; protein-containing complex binding [GO:0044877]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; protein serine/threonine kinase inhibitor activity [GO:0030291]; RNA polymerase III type 1 promoter sequence-specific DNA binding [GO:0001002]; RNA polymerase III type 2 promoter sequence-specific DNA binding [GO:0001003]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TFIIIC-class transcription factor complex binding [GO:0001156]	8276
8277	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTPase binding [GO:0051020]; GTP binding [GO:0005525]; protein heterodimerization activity [GO:0046982]	8277
8278	RNA 2'-O-methyltransferase activity [GO:0062105]; RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; rRNA (guanine) methyltransferase activity [GO:0016435]; rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]	8278
8279	protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]	8279
8280	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]	8280
8281	beta-catenin binding [GO:0008013]; bHLH transcription factor binding [GO:0043425]; chromatin DNA binding [GO:0031490]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; collagen binding [GO:0005518]; co-SMAD binding [GO:0070410]; DEAD/H-box RNA helicase binding [GO:0017151]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity [GO:0001217]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; I-SMAD binding [GO:0070411]; mineralocorticoid receptor binding [GO:0031962]; phosphatase binding [GO:0019902]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; R-SMAD binding [GO:0070412]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator binding [GO:0001223]; transcription factor binding [GO:0008134]; transforming growth factor beta receptor binding [GO:0005160]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	8281
8282	protein phosphatase 2A binding [GO:0051721]; telomerase RNA binding [GO:0070034]; telomeric DNA binding [GO:0042162]	8282
8283	endopeptidase activator activity [GO:0061133]; fibronectin binding [GO:0001968]; integrin binding [GO:0005178]; receptor ligand activity [GO:0048018]; Wnt-protein binding [GO:0017147]	8283
8284	sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]; sialate O-acetylesterase activity [GO:0001681]	8284
8285	sialic acid binding [GO:0033691]	8285
8286	actin filament binding [GO:0051015]; myosin II binding [GO:0045159]	8286
8287	NF-kappaB binding [GO:0051059]; protein-lysine N-methyltransferase activity [GO:0016279]	8287
8288	chromatin binding [GO:0003682]; histone-lysine N-methyltransferase activity [GO:0018024]; p53 binding [GO:0002039]; protein-lysine N-methyltransferase activity [GO:0016279]	8288
8289	ion transmembrane transporter activity [GO:0015075]; transmembrane transporter activity [GO:0022857]	8289
8290	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; complement component C1q complex binding [GO:0001849]; identical protein binding [GO:0042802]; low-density lipoprotein particle binding [GO:0030169]; unfolded protein binding [GO:0051082]; virion binding [GO:0046790]	8290
8291	GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]	8291
8292	amino acid transmembrane transporter activity [GO:0015171]; L-glutamine transmembrane transporter activity [GO:0015186]; L-serine transmembrane transporter activity [GO:0015194]; neutral amino acid:sodium symporter activity [GO:0005295]	8292
8293	amino acid:sodium symporter activity [GO:0005283]; amino acid transmembrane transporter activity [GO:0015171]; L-amino acid transmembrane transporter activity [GO:0015179]; L-glutamine transmembrane transporter activity [GO:0015186]; neutral amino acid:sodium symporter activity [GO:0005295]; neutral amino acid transmembrane transporter activity [GO:0015175]	8293
8294	alanine transmembrane transporter activity [GO:0022858]; amino acid transmembrane transporter activity [GO:0015171]; glycine transmembrane transporter activity [GO:0015187]; L-asparagine transmembrane transporter activity [GO:0015182]; L-glutamine transmembrane transporter activity [GO:0015186]; L-histidine transmembrane transporter activity [GO:0005290]; L-serine transmembrane transporter activity [GO:0015194]; serine transmembrane transporter activity [GO:0022889]	8294
8295	amino acid transmembrane transporter activity [GO:0015171]; symporter activity [GO:0015293]	8295
8296	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; miRNA binding [GO:0035198]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]	8296
8297	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]	8297
8298	N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity [GO:0052895]; norspermine:oxygen oxidoreductase activity [GO:0052894]; oxidoreductase activity [GO:0016491]; polyamine oxidase activity [GO:0046592]; spermine:oxygen oxidoreductase (spermidine-forming) activity [GO:0052901]	8298
8299	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; insulin-like growth factor receptor binding [GO:0005159]; kinase inhibitor activity [GO:0019210]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]	8299
8300	androgen receptor binding [GO:0050681]; enzyme binding [GO:0019899]; Notch binding [GO:0005112]; nuclear receptor binding [GO:0016922]; retinoic acid receptor binding [GO:0042974]; RNA binding [GO:0003723]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; vitamin D receptor binding [GO:0042809]	8300
8301	ATP binding [GO:0005524]; beta-tubulin binding [GO:0048487]; chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; mediator complex binding [GO:0036033]; microtubule motor activity [GO:0003777]; protein heterodimerization activity [GO:0046982]	8301
8302	protein N-terminus binding [GO:0047485]; SH2 domain binding [GO:0042169]	8302
8303	enzyme binding [GO:0019899]; histone pre-mRNA DCP binding [GO:0071208]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; U7 snRNA binding [GO:0071209]	8303
8304	identical protein binding [GO:0042802]; intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity [GO:0097682]; ligand-gated sodium channel activity [GO:0015280]; NAADP-sensitive calcium-release channel activity [GO:0072345]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; protein homodimerization activity [GO:0042803]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated sodium channel activity [GO:0005248]	8304
8305	transcription factor binding [GO:0008134]; transmembrane transporter binding [GO:0044325]	8305
8306	ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; magnesium ion binding [GO:0000287]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]	8306
8307	identical protein binding [GO:0042802]; intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity [GO:0097682]; ligand-gated sodium channel activity [GO:0015280]; NAADP-sensitive calcium-release channel activity [GO:0072345]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; protein kinase binding [GO:0019901]; voltage-gated calcium channel activity [GO:0005245]	8307
8308	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein kinase C binding [GO:0005080]	8308
8309	interleukin-1, type I receptor binding [GO:0005150]; kinase binding [GO:0019900]; SUMO binding [GO:0032183]; Toll-like receptor binding [GO:0035325]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]	8309
8310	death domain binding [GO:0070513]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; protein-containing complex binding [GO:0044877]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]; tumor necrosis factor receptor binding [GO:0005164]	8310
8311	deoxynucleotide transmembrane transporter activity [GO:0030233]; thiamine pyrophosphate transmembrane transporter activity [GO:0090422]; thiamine transmembrane transporter activity [GO:0015234]	8311
8312	clathrin binding [GO:0030276]; phosphatidylinositol binding [GO:0035091]; ubiquitin binding [GO:0043130]	8312
8313	DNA binding [GO:0003677]; DNA topoisomerase activity [GO:0003916]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; single-stranded DNA binding [GO:0003697]; zinc ion binding [GO:0008270]	8313
8314	actin binding [GO:0003779]; actin filament binding [GO:0051015]; tropomyosin binding [GO:0005523]	8314
8315	GTPase activity [GO:0003924]; molecular adaptor activity [GO:0060090]	8315
8316	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; nuclear receptor coactivator activity [GO:0030374]; progesterone receptor binding [GO:0033142]; transcription coactivator activity [GO:0003713]; transcription coactivator binding [GO:0001223]; transcription corepressor activity [GO:0003714]	8316
8317	collagen binding [GO:0005518]; RNA binding [GO:0003723]; serine-type endopeptidase inhibitor activity [GO:0004867]; unfolded protein binding [GO:0051082]	8317
8318	leucine binding [GO:0070728]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]	8318
8319	histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; RNA binding [GO:0003723]	8319
8320	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K9 specific) [GO:0046974]; promoter-specific chromatin binding [GO:1990841]; zinc ion binding [GO:0008270]	8320
8321	amyloid-beta binding [GO:0001540]; G protein-coupled receptor activity [GO:0004930]	8321
8322	isopeptidase activity [GO:0070122]; Lys63-specific deubiquitinase activity [GO:0061578]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; thiol-dependent deubiquitinase [GO:0004843]	8322
8323	3'-5'-exodeoxyribonuclease activity [GO:0008296]; 3'-5' exonuclease activity [GO:0008408]; adenyl deoxyribonucleotide binding [GO:0032558]; DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; exodeoxyribonuclease III activity [GO:0008853]; magnesium ion binding [GO:0000287]; metal ion binding [GO:0046872]; MutLalpha complex binding [GO:0032405]; MutSalpha complex binding [GO:0032407]; protein homodimerization activity [GO:0042803]; single-stranded DNA binding [GO:0003697]; WW domain binding [GO:0050699]	8323
8324	nuclear import signal receptor activity [GO:0061608]	8324
8325	calcium-dependent protein binding [GO:0048306]; identical protein binding [GO:0042802]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; structural molecule activity [GO:0005198]	8325
8326	3'-phosphoadenosine 5'-phosphosulfate binding [GO:0050656]; aryl sulfotransferase activity [GO:0004062]; flavonol 3-sulfotransferase activity [GO:0047894]; steroid sulfotransferase activity [GO:0050294]; sulfotransferase activity [GO:0008146]	8326
8327	calmodulin binding [GO:0005516]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription factor binding [GO:0008134]	8327
8328	cupric ion binding [GO:1903135]; Formylglycine-generating oxidase activity [GO:0120147]; identical protein binding [GO:0042802]; oxidoreductase activity [GO:0016491]	8328
8329	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; protein N-terminus binding [GO:0047485]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]	8329
8330	DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	8330
8331	protein-containing complex binding [GO:0044877]; protein transmembrane transporter activity [GO:0008320]; syntaxin binding [GO:0019905]	8331
8332	protein heterodimerization activity [GO:0046982]; RNA polymerase II complex binding [GO:0000993]; zinc ion binding [GO:0008270]	8332
8333	chromatin binding [GO:0003682]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K9 specific) [GO:0046974]; protein N-terminus binding [GO:0047485]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]	8333
8334	actin binding [GO:0003779]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; structural constituent of cytoskeleton [GO:0005200]	8334
8335	chromatin DNA binding [GO:0031490]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; histone deacetylase binding [GO:0042826]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific double-stranded DNA binding [GO:1990837]; serum response element binding [GO:0010736]	8335
8336	extracellular matrix binding [GO:0050840]; fibronectin binding [GO:0001968]; laminin binding [GO:0043236]; scavenger receptor activity [GO:0005044]	8336
8337	arginine binding [GO:0034618]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; tRNA binding [GO:0000049]	8337
8338	ATP binding [GO:0005524]; protein kinase inhibitor activity [GO:0004860]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transferase activity [GO:0016740]	8338
8339	cuprous ion binding [GO:1903136]	8339
8340	ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]	8340
8341	DNA binding [GO:0003677]; enzyme binding [GO:0019899]; estrogen receptor binding [GO:0030331]; identical protein binding [GO:0042802]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase binding [GO:0070063]; RNA polymerase II general transcription initiation factor activity [GO:0016251]	8341
8342	ankyrin repeat binding [GO:0071532]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; double-stranded telomeric DNA binding [GO:0003691]; G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; telomeric DNA binding [GO:0042162]	8342
8343	C5-methylcytidine-containing RNA binding [GO:0062153]; RNA binding [GO:0003723]	8343
8344	DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; protein self-association [GO:0043621]; transcription corepressor activity [GO:0003714]	8344
8345	anion channel activity [GO:0005253]; ATP binding [GO:0005524]; calcium-activated potassium channel activity [GO:0015269]; unfolded protein binding [GO:0051082]	8345
8346	3-mercaptopyruvate sulfurtransferase activity [GO:0016784]; identical protein binding [GO:0042802]; thiosulfate sulfurtransferase activity [GO:0004792]	8346
8347	chromatin binding [GO:0003682]; estrogen response element binding [GO:0034056]; lysine-acetylated histone binding [GO:0070577]; nuclear receptor binding [GO:0016922]; p53 binding [GO:0002039]; protein kinase activity [GO:0004672]; signaling receptor binding [GO:0005102]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	8347
8348	chaperone binding [GO:0051087]; histone binding [GO:0042393]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; ubiquitin protein ligase binding [GO:0031625]	8348
8349	bubble DNA binding [GO:0000405]; damaged DNA binding [GO:0003684]; heteroduplex DNA loop binding [GO:0000404]; protein-containing complex binding [GO:0044877]; single-stranded DNA binding [GO:0003697]; transcription coactivator activity [GO:0003713]	8349
8350	histone binding [GO:0042393]; methylated histone binding [GO:0035064]	8350
8351	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulator inhibitor activity [GO:0140416]	8351
8352	cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]; tumor necrosis factor receptor binding [GO:0005164]	8352
8353	actin binding [GO:0003779]; alpha-catenin binding [GO:0045294]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; dystroglycan binding [GO:0002162]; structural molecule activity [GO:0005198]; ubiquitin protein ligase binding [GO:0031625]	8353
8354	identical protein binding [GO:0042802]; pattern recognition receptor activity [GO:0038187]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	8354
8355	kisspeptin receptor binding [GO:0031773]	8355
8356	DNA binding, bending [GO:0008301]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; eukaryotic initiation factor 4E binding [GO:0008190]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; TBP-class protein binding [GO:0017025]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]	8356
8357	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]	8357
